slang,formal
kmna,kemana
kmpanye,kampanye
kmrn,kemarin
kna,terkena
knapa,kenapa
knp,kenapa
knpa,kenapa
ko,kok
konkrit,konkret
Kontraproduktif,Kontra produktif
koq,kok
korona,corona
kpd,kepada
krm,kirim
krn,karena
ktp,kartu tanda penduduk
kucil,kecil
kya,kaya
kyk,seperti
kyknya,sepertinya
laah,lah
lahn,lahan
lakuakn,lakukan
landainol,landai nol
langkahkepedulian,langkah kepedulian
lansung,langsung
lantass,lantas
law,hukum
lewt,lewat
lg,lagi
lho,lo
liat,lihat
life,hidup
lo,kamu
lock down,lockdown
loe,kamu
loh,lo
longgarin,longgar
lu,kamu
macem,macam
mahh,mah
makanyaa,maka
makanye,makanya
make,pakai
mal,mall
males,malas
management,manajemen
mantappresiden,mantap presiden
masal,massal
masjidmushola,masjid mushola
masrakat,masyarakat
masyakarat,masyarakat
masyakatnya,masyarakat
masyarakatt,masyarakat
masyarkat,masyarakat
masyrakat,masyarakat
matabrantai,mata rantai
may,mei
maybeee,bisa jadi
mbk,mbak
mbok,mbak
mbuat,membuat
mcm,macam
me jadi,menjadi
melaksakana,laksana
memberitahu,beri tahu
memberlakukan,laku
membludaknya,bludak
memeperkecil,memperkecil
memerangi,perang
memikirkannnya,memikirkannya
meminimalisir,minimal
memntingkan,mementingkan
memperbaharui,memperbarui
menangangani,tangan
menangani,tangan
menanganinya,tangan
menanganu,menangani
menanggani,menangani
menanggung,tanggung
menangungnya,tanggung
menataati,mentaati
mencontohin,contoh
mengadakan,ada
mengahadapi,menghadapi
mengahadirkan,menghadirkan
menganalisa,analisa
menganggu,mengganggu
mengatasnamakan,atas nama
mengembangbiakan,kembang biak
menggalakkan,menggalakan
menghadang,hadang
menghibau,mengimbau
menghilngkan,menghilangkan
menghimbau,mengimbau
menginstall,menginstal
menhajar,mengajar
menhub,menteri perhubungan
mentaati,menaati
mentri,menteri
menyelipkn,menyelipkan
merespon,respon
merespons,merespon
merhatiin,hati
mesjid,masjid
mgkn,mungkin
mikirin,mikir
mindsetnya,mindset
miris,kasihan
miss,kangen
mlh,malah
mmbatalkan,membatalkan
mmbuka,membuka
mmg,memang
mndukung,mendukung
mngambil,mengambil
mngujat,menghujat
mo,mau
mrk,mereka
msg,masing
msh,masih
msih,masih
